アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
15.7,7.7,4.69,0.905,1.46,-0.527,-0.99,69,茶色瓶,一般酒
16,-0.0721,4.71,1.36,0.963,-0.096,-1.04,72,紙パック,一般酒
16.1,-1.09,4.69,1.32,1.19,0.312,-1.04,73,茶色瓶,一般酒
15.3,3.71,3.79,1.12,1.52,0.035,-0.904,71,茶色瓶,一般酒
16.1,11.2,5.07,0.908,0.907,-0.338,-1.02,66,茶色瓶,一般酒
16.1,7.06,3.11,1.23,0.856,-0.116,-1.02,72,茶色瓶,一般酒
14.8,3.52,4.66,1.13,1.6,0.021,-0.898,73,茶色瓶,一般酒
16.5,6.91,4.51,0.869,1.19,-0.077,-0.978,62,紙パック,一般酒
15.3,2.21,4.12,1.01,2.06,0.117,-0.935,68,紙パック,一般酒
15.7,2.87,4.62,1.06,1.23,0.121,-0.963,74,茶色瓶,一般酒
15,1.89,4.99,1.29,1.46,-0.123,-1.02,71,茶色瓶,一般酒
15.1,-7.77,3.58,1.02,1.24,0.144,-1.03,70,紙パック,一般酒
15.1,-0.35,4.78,1.19,1.24,-0.217,-1,73,茶色瓶,一般酒
15.8,3.66,4.36,1.23,1.19,-0.018,-1.04,71,茶色瓶,一般酒
15.1,-1.6,4.6,1.44,1.47,0.062,-0.987,65,茶色瓶,一般酒
16.5,2.76,4.15,1.25,1.05,0.024,-0.981,70,茶色瓶,一般酒
14.8,-2.59,4.79,0.986,1.11,0.045,-1.01,67,茶色瓶,一般酒
15.5,4.93,4.53,1.17,1.38,-0.08,-0.985,70,茶色瓶,一般酒
14.8,3.72,4.84,1.29,1.48,-0.17,-0.896,71,紙パック,一般酒
15.9,-2.89,4.85,0.975,1.22,0.129,-0.922,71,茶色瓶,一般酒
15.5,3.55,4.52,1.5,0.148,-0.063,-1.01,69,緑色瓶,一般酒
15,8.17,4.27,1.27,1.52,-0.18,-0.929,70,紙パック,一般酒
15.5,3.51,5.29,1.09,1.1,0.011,-0.923,73,茶色瓶,一般酒
15,4.49,4.77,1.21,1.99,-0.066,-1.08,71,紙パック,一般酒
15.4,2.85,5.06,1.31,1.35,-0.037,-0.941,70,茶色瓶,一般酒
15.3,0.937,4.54,1.04,1.99,-0.187,-0.982,69,茶色瓶,一般酒
15.3,-1.78,3.93,1.05,0.973,-0.201,-1.07,74,茶色瓶,一般酒
14.7,6.02,4.97,0.983,0.947,0.126,-0.916,72,紙パック,一般酒
15,6.41,3.04,1.44,1.38,0.316,-0.994,70,茶色瓶,一般酒
14.7,1.16,5.33,0.774,1.43,-0.061,-1.04,69,茶色瓶,一般酒
15.9,6.05,4.65,1.29,0.763,-0.015,-1.1,68,茶色瓶,一般酒
14.9,1.02,4.03,0.877,0.849,-0.299,-0.912,71,茶色瓶,一般酒
15.3,4,4.11,0.934,0.695,-0.042,-0.965,70,茶色瓶,一般酒
13.8,-0.717,3.76,1.25,0.811,-0.021,-0.999,71,その他色瓶,一般酒
15.6,2.5,4.67,1.37,1.32,-0.283,-1.06,75,茶色瓶,一般酒
15.2,2.49,3.88,1.06,1.94,0.074,-0.973,73,茶色瓶,一般酒
16.1,2.38,3.88,1.39,1.36,0.046,-0.993,72,緑色瓶,一般酒
16.8,4.73,4.87,1.08,1.49,-0.091,-0.887,73,茶色瓶,一般酒
15.2,1,4.49,1.14,2.1,-0.313,-0.961,70,茶色瓶,一般酒
15.9,4.81,4.56,1.23,1.05,0.089,-0.835,72,茶色瓶,一般酒
15.8,3.71,5.32,0.979,1.28,0.081,-0.928,68,茶色瓶,一般酒
14.6,4.04,4.38,1.42,0.935,-0.181,-1.09,71,茶色瓶,一般酒
15.7,6.23,4.05,1.08,1.31,-0.293,-1.06,70,茶色瓶,一般酒
15,6.23,5.4,1.52,0.7,0.067,-0.939,68,緑色瓶,一般酒
15.1,6.99,3.79,1.29,1.83,-0.021,-0.924,68,茶色瓶,一般酒
15,0.877,4.53,1.31,0.938,-0.149,-0.944,67,茶色瓶,一般酒
15.8,0.975,4.82,1.23,1.67,-0.17,-1.02,70,茶色瓶,一般酒
14,1.91,5.43,1.18,0.896,-0.221,-0.978,71,紙パック,一般酒
15.4,-0.733,3.93,1.49,1.29,-0.125,-1.12,71,茶色瓶,一般酒
15,5.29,5.92,1.26,0.979,-0.252,-0.972,73,茶色瓶,一般酒
17.3,5.54,3.12,1.04,1.59,-0.098,-0.945,73,茶色瓶,一般酒
15.8,3.83,4.28,1.32,1.34,-0.184,-1.11,67,茶色瓶,一般酒
14.7,11,3.75,0.939,1.34,-0.175,-1.14,69,茶色瓶,一般酒
16.1,0.707,4.21,1.38,1.36,-0.025,-0.668,69,茶色瓶,一般酒
15.6,5.74,4.67,1.58,0.628,-0.216,-0.943,71,茶色瓶,一般酒
15.5,1.87,3.73,0.994,1.1,-0.079,-1.05,71,茶色瓶,一般酒
16.1,-1.45,4.39,1.05,0.733,0.143,-1,75,緑色瓶,一般酒
16.6,6.53,4.67,1.39,1.24,-0.127,-1.06,75,茶色瓶,一般酒
16.2,2.75,3.62,1.01,1.8,-0.095,-1.03,68,茶色瓶,一般酒
15.6,4.95,4.85,0.786,1.15,-0.234,-1.08,70,紙パック,一般酒
16,-4.17,4.95,1.09,1.17,-0.182,-1.07,66,茶色瓶,一般酒
13.6,6.53,3.07,1.06,0.695,-0.079,-0.981,66,その他色瓶,一般酒
15.7,-0.332,5.26,1.22,0.787,-0.142,-0.973,75,リターナブル瓶,一般酒
15.7,4.16,4.52,1.39,1.36,-0.061,-1.08,70,緑色瓶,一般酒
15,3.51,5.59,0.613,1.72,-0.27,-1.01,69,紙パック,一般酒
15.1,0.835,4.62,1.54,1.26,0.161,-0.854,67,緑色瓶,一般酒
14.6,0.121,3.44,0.868,1.3,-0.259,-1.11,75,茶色瓶,一般酒
15,2.19,4.65,1.13,1.53,-0.204,-0.95,72,紙パック,一般酒
14.4,1.15,4.57,1.34,1.09,-0.072,-1.04,72,茶色瓶,一般酒
15.2,9.38,4.45,1.3,1.25,0.167,-1.09,68,茶色瓶,一般酒
15.1,3.57,5.03,1.06,0.636,-0.197,-1.21,68,茶色瓶,一般酒
15.9,-0.027,4.04,1.22,1.13,-0.364,-1.02,67,茶色瓶,一般酒
15.1,10.8,4.14,1.14,0.717,-0.178,-0.917,72,茶色瓶,一般酒
16.1,3.47,5.11,1.21,1.4,0.092,-1.02,75,緑色瓶,一般酒
14.2,6,6.37,1.24,1.22,-0.426,-0.935,70,茶色瓶,一般酒
15.9,5.29,5.35,1.16,1.49,-0.346,-1.03,68,茶色瓶,一般酒
14.6,11.4,4.89,1.14,1.37,-0.04,-1.02,74,茶色瓶,一般酒
14.4,4.67,5.12,0.927,1.13,-0.128,-1.05,70,茶色瓶,一般酒
